"id","produit","ancien_prix","prix_actuel","remise","etat","source","date_verification","statut"
"tracteurs-01","AgriFrance Terra 100A","","","","Occasion","","","Prix sur devis — référence de démonstration"
"tracteurs-02","TerraNova Terra 220A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-03","FieldPro Terra 360A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-04","AgroMax Terra 480A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-05","Cultivance Terra 600A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-06","Horizon Farm Terra 100B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-07","AgriFrance Terra 220B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-08","TerraNova Terra 360B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-09","FieldPro Terra 480B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-10","AgroMax Terra 600B","","","","Occasion","","","Prix sur devis — référence de démonstration"
"tracteurs-11","Cultivance Terra 100C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-12","Horizon Farm Terra 220C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-13","AgriFrance Terra 360C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-14","TerraNova Terra 480C","","","","Reconditionné","","","Prix sur devis — référence de démonstration"
"tracteurs-15","FieldPro Terra 600C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-16","AgroMax Terra 100D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-17","Cultivance Terra 220D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-18","Horizon Farm Terra 360D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-19","AgriFrance Terra 480D","","","","Occasion","","","Prix sur devis — référence de démonstration"
"tracteurs-20","TerraNova Terra 600D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-21","FieldPro Terra 100E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-22","AgroMax Terra 220E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-23","Cultivance Terra 360E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-24","Horizon Farm Terra 480E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-25","AgriFrance Terra 600E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-26","TerraNova Terra 100F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-27","FieldPro Terra 220F","","","","Reconditionné","","","Prix sur devis — référence de démonstration"
"tracteurs-28","AgroMax Terra 360F","","","","Occasion","","","Prix sur devis — référence de démonstration"
"tracteurs-29","Cultivance Terra 480F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"tracteurs-30","Horizon Farm Terra 600F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-01","AgriFrance Harvest 100A","","","","Occasion","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-02","TerraNova Harvest 220A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-03","FieldPro Harvest 360A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-04","AgroMax Harvest 480A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-05","Cultivance Harvest 600A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-06","Horizon Farm Harvest 100B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-07","AgriFrance Harvest 220B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-08","TerraNova Harvest 360B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-09","FieldPro Harvest 480B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-10","AgroMax Harvest 600B","","","","Occasion","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-11","Cultivance Harvest 100C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-12","Horizon Farm Harvest 220C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-13","AgriFrance Harvest 360C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-14","TerraNova Harvest 480C","","","","Reconditionné","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-15","FieldPro Harvest 600C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-16","AgroMax Harvest 100D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-17","Cultivance Harvest 220D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-18","Horizon Farm Harvest 360D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-19","AgriFrance Harvest 480D","","","","Occasion","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-20","TerraNova Harvest 600D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-21","FieldPro Harvest 100E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-22","AgroMax Harvest 220E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-23","Cultivance Harvest 360E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-24","Horizon Farm Harvest 480E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-25","AgriFrance Harvest 600E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-26","TerraNova Harvest 100F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-27","FieldPro Harvest 220F","","","","Reconditionné","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-28","AgroMax Harvest 360F","","","","Occasion","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-29","Cultivance Harvest 480F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"moissonneuses-batteuses-30","Horizon Farm Harvest 600F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-01","AgriFrance Forage 100A","","","","Occasion","","","Prix sur devis — référence de démonstration"
"ensileuses-02","TerraNova Forage 220A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-03","FieldPro Forage 360A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-04","AgroMax Forage 480A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-05","Cultivance Forage 600A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-06","Horizon Farm Forage 100B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-07","AgriFrance Forage 220B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-08","TerraNova Forage 360B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-09","FieldPro Forage 480B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-10","AgroMax Forage 600B","","","","Occasion","","","Prix sur devis — référence de démonstration"
"ensileuses-11","Cultivance Forage 100C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-12","Horizon Farm Forage 220C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-13","AgriFrance Forage 360C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-14","TerraNova Forage 480C","","","","Reconditionné","","","Prix sur devis — référence de démonstration"
"ensileuses-15","FieldPro Forage 600C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-16","AgroMax Forage 100D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-17","Cultivance Forage 220D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-18","Horizon Farm Forage 360D","","","","Neuf","","","Prix sur devis — référence de démonstration"
